id,dataset_id,full_disk_image_id,crop_filename,storage_bucket,storage_path,full_disk_filename,crop_index,date_obs,z_class,p_class,c_class,mcintosh_full,pred_z,pred_p,pred_c,pred_mcintosh_full,noaa,lat,lon,carrington_lo,extension_ll,area,mag_class,num_spots_srs,orig_w,orig_h,square_size,yolo_conf
7a0ce353-3859-5563-8dbe-77dcf2d6a5f3,be7cb32f-b4a5-5a19-b9bc-fc5c280fddaa,8cd20231-0072-5987-90a2-917c76b8ca73,hmi_20100506_0000_1069_0.png,sunspot-crops,convnextv2_db1_image/v1/crops/hmi_20100506_0000_1069_0.png,hmi_20100506.png,0,2010-05-06,D,a,i,Dai,H,x,x,Hxx,1069,41.0,40.0,224.0,9.0,170.0,Beta-Gamma,7,95,53,224,0.7257066965103149
56df5745-7022-5472-802a-e5a75bee513a,be7cb32f-b4a5-5a19-b9bc-fc5c280fddaa,cce606f1-f468-533b-b4a4-0d96697c47b9,hmi_20100507_0000_1069_0.png,sunspot-crops,convnextv2_db1_image/v1/crops/hmi_20100507_0000_1069_0.png,hmi_20100507.png,0,2010-05-07,E,s,i,Esi,H,x,x,Hxx,1069,42.0,51.0,222.0,12.0,80.0,Beta-Gamma,9,45,44,224,0.3733936846256256
6acd57d0-a220-5f31-8863-caa37a8793a9,be7cb32f-b4a5-5a19-b9bc-fc5c280fddaa,ca562540-a14e-5030-abab-314b371a056e,hmi_20100522_0000_1072_0.png,sunspot-crops,convnextv2_db1_image/v1/crops/hmi_20100522_0000_1072_0.png,hmi_20100522.png,0,2010-05-22,B,x,o,Bxo,H,x,x,Hxx,1072,-16.0,-14.0,319.0,4.0,30.0,Beta,5,79,55,224,0.8280645608901978
5d1519d7-9430-513f-b3c8-d42675c60ccd,be7cb32f-b4a5-5a19-b9bc-fc5c280fddaa,0578910f-1ea4-53c3-bd9a-7e6aba7c3ce6,hmi_20100523_0000_1072_0.png,sunspot-crops,convnextv2_db1_image/v1/crops/hmi_20100523_0000_1072_0.png,hmi_20100523.png,0,2010-05-23,C,a,o,Cao,H,x,x,Hxx,1072,-16.0,-8.0,312.0,6.0,100.0,Beta,10,86,60,224,0.8416796922683716
f5dc0819-cb21-5ae8-9adf-ca36a14ae18e,be7cb32f-b4a5-5a19-b9bc-fc5c280fddaa,6e6a049a-80ea-5b98-9ec5-0b64a5d49084,hmi_20100524_0000_1072_0.png,sunspot-crops,convnextv2_db1_image/v1/crops/hmi_20100524_0000_1072_0.png,hmi_20100524.png,0,2010-05-24,D,s,i,Dsi,H,x,x,Hxx,1072,-15.0,9.0,315.0,6.0,130.0,Beta,13,89,56,224,0.8362718820571899
4bca3857-6a87-58b7-be9d-dd3304cf432a,be7cb32f-b4a5-5a19-b9bc-fc5c280fddaa,5b1a54db-32e7-519b-8645-965de429931a,hmi_20100525_0000_1072_0.png,sunspot-crops,convnextv2_db1_image/v1/crops/hmi_20100525_0000_1072_0.png,hmi_20100525.png,0,2010-05-25,C,s,o,Cso,H,x,x,Hxx,1072,-15.0,22.0,315.0,6.0,90.0,Beta,7,53,51,224,0.83583664894104
680cfc00-9bab-55f1-9da1-c2d34a77eebc,be7cb32f-b4a5-5a19-b9bc-fc5c280fddaa,254a59fa-bbf3-54e8-a81e-0ccf0bce6145,hmi_20100526_0000_1072_0.png,sunspot-crops,convnextv2_db1_image/v1/crops/hmi_20100526_0000_1072_0.png,hmi_20100526.png,0,2010-05-26,C,s,o,Cso,H,x,x,Hxx,1072,-15.0,36.0,316.0,5.0,60.0,Beta,6,50,52,224,0.890424370765686
f74ccd1e-afc8-5f21-8b8d-5b50050059c4,be7cb32f-b4a5-5a19-b9bc-fc5c280fddaa,a2790606-7608-5846-a075-93fcf4cfc55f,hmi_20100527_0000_1072_0.png,sunspot-crops,convnextv2_db1_image/v1/crops/hmi_20100527_0000_1072_0.png,hmi_20100527.png,0,2010-05-27,H,s,x,Hsx,H,x,x,Hxx,1072,-23.0,52.0,319.0,2.0,50.0,Alpha,1,46,51,224,0.8912844657897949
4889513a-cc23-54cf-aaf5-edb738141a95,be7cb32f-b4a5-5a19-b9bc-fc5c280fddaa,72b70fab-1a38-54d8-9352-bde452cd60c5,hmi_20100528_0000_1072_0.png,sunspot-crops,convnextv2_db1_image/v1/crops/hmi_20100528_0000_1072_0.png,hmi_20100528.png,0,2010-05-28,H,s,x,Hsx,A,x,x,Axx,1072,-15.0,65.0,318.0,2.0,40.0,Alpha,1,44,48,224,0.714771568775177
a2ff42f9-ee4f-5c01-8d28-4948832b5a47,be7cb32f-b4a5-5a19-b9bc-fc5c280fddaa,7b98a806-a8a0-565d-9dae-1e81094dd7b8,hmi_20100530_0000_1075_0.png,sunspot-crops,convnextv2_db1_image/v1/crops/hmi_20100530_0000_1075_0.png,hmi_20100530.png,0,2010-05-30,B,x,o,Bxo,D,k,o,Dko,1075,-20.0,2.0,229.0,3.0,20.0,Beta,5,60,49,224,0.3941797316074371
44440966-c10b-5e91-8aaf-1741125f19b3,be7cb32f-b4a5-5a19-b9bc-fc5c280fddaa,87ee3809-9fbc-533b-876e-749bfe01c581,hmi_20100602_0000_1076_0.png,sunspot-crops,convnextv2_db1_image/v1/crops/hmi_20100602_0000_1076_0.png,hmi_20100602.png,0,2010-06-02,B,x,o,Bxo,H,x,x,Hxx,1076,-20.0,6.0,193.0,5.0,20.0,Beta,4,81,49,224,0.764484167098999
740af62b-983c-5ea2-969f-4a40c157baf3,be7cb32f-b4a5-5a19-b9bc-fc5c280fddaa,e3ca39bb-b2d0-5a9e-839a-ccd11eaa5209,hmi_20100603_0000_1076_0.png,sunspot-crops,convnextv2_db1_image/v1/crops/hmi_20100603_0000_1076_0.png,hmi_20100603.png,0,2010-06-03,D,a,i,Dai,H,x,x,Hxx,1076,-19.0,22.0,196.0,6.0,40.0,Beta,8,87,61,224,0.8563152551651001
bead95a2-60fb-5fac-ae16-11381cc5989c,be7cb32f-b4a5-5a19-b9bc-fc5c280fddaa,08d88aa4-f24c-5222-8e07-621ab28149ab,hmi_20100604_0000_1076_0.png,sunspot-crops,convnextv2_db1_image/v1/crops/hmi_20100604_0000_1076_0.png,hmi_20100604.png,0,2010-06-04,D,h,o,Dho,H,x,x,Hxx,1076,-27.0,28.0,189.0,8.0,190.0,Beta,7,87,57,224,0.8850046992301941
ee362416-91b3-5bb3-8dbf-38bd08e19178,be7cb32f-b4a5-5a19-b9bc-fc5c280fddaa,fab9c467-1dfd-5704-af9e-af12ae9392d1,hmi_20100605_0000_1076_0.png,sunspot-crops,convnextv2_db1_image/v1/crops/hmi_20100605_0000_1076_0.png,hmi_20100605.png,0,2010-06-05,D,s,o,Dso,H,r,x,Hrx,1076,-19.0,49.0,197.0,8.0,70.0,Beta,8,72,54,224,0.8392534255981445
248e59f7-3ca9-546b-be94-a5eeadd12777,be7cb32f-b4a5-5a19-b9bc-fc5c280fddaa,9567eca3-7007-5f73-9196-a425413c4b79,hmi_20100606_0000_1076_0.png,sunspot-crops,convnextv2_db1_image/v1/crops/hmi_20100606_0000_1076_0.png,hmi_20100606.png,0,2010-06-06,B,x,o,Bxo,A,x,x,Axx,1076,-19.0,61.0,196.0,7.0,15.0,Beta,4,47,52,224,0.725550651550293
03a9a451-7ad9-5f5f-8f41-c0ee297cedd6,be7cb32f-b4a5-5a19-b9bc-fc5c280fddaa,41cb06b2-5db1-56f9-b170-3efbaf5b38a4,hmi_20100609_0000_1078_0.png,sunspot-crops,convnextv2_db1_image/v1/crops/hmi_20100609_0000_1078_0.png,hmi_20100609.png,0,2010-06-09,C,r,o,Cro,D,x,o,Dxo,1078,-22.0,45.0,140.0,7.0,80.0,Beta,2,80,64,224,0.8541932106018066
f5c29392-a09f-50f8-ba8b-29d29455580b,be7cb32f-b4a5-5a19-b9bc-fc5c280fddaa,bb304f33-a40b-5293-8274-ee8867f2f930,hmi_20100610_0000_1078_0.png,sunspot-crops,convnextv2_db1_image/v1/crops/hmi_20100610_0000_1078_0.png,hmi_20100610.png,0,2010-06-10,D,s,i,Dsi,C,x,o,Cxo,1078,-21.0,60.0,141.0,9.0,180.0,Beta-Gamma,6,74,61,224,0.8541936874389648
0286d741-6fa2-53b8-84ab-5d252046ae6f,be7cb32f-b4a5-5a19-b9bc-fc5c280fddaa,9c6974fe-42d0-5981-b68f-e772cf96af5c,hmi_20100611_0000_1080_0.png,sunspot-crops,convnextv2_db1_image/v1/crops/hmi_20100611_0000_1080_0.png,hmi_20100611.png,0,2010-06-11,B,x,o,Bxo,A,x,x,Axx,1080,-25.0,39.0,107.0,4.0,10.0,Beta,5,69,52,224,0.7938231825828552
c9ba3bf5-ad5d-595d-a65c-8e8698c0a24b,be7cb32f-b4a5-5a19-b9bc-fc5c280fddaa,73d7cde0-2c9c-553d-9e0e-17e03be05297,hmi_20100612_0000_1080_0.png,sunspot-crops,convnextv2_db1_image/v1/crops/hmi_20100612_0000_1080_0.png,hmi_20100612.png,0,2010-06-12,D,a,i,Dai,H,x,x,Hxx,1080,-23.0,54.0,109.0,6.0,100.0,Beta,4,71,55,224,0.7816233038902283
bc730dc8-c2de-571f-95f0-e1b373b48695,be7cb32f-b4a5-5a19-b9bc-fc5c280fddaa,73d7cde0-2c9c-553d-9e0e-17e03be05297,hmi_20100612_0000_1081_1.png,sunspot-crops,convnextv2_db1_image/v1/crops/hmi_20100612_0000_1081_1.png,hmi_20100612.png,1,2010-06-12,B,x,o,Bxo,D,r,o,Dro,1081,22.0,43.0,98.0,5.0,50.0,Beta,8,74,62,224,0.5864245295524597
4608d091-efb9-5615-ad59-dfe9ff05e4e5,be7cb32f-b4a5-5a19-b9bc-fc5c280fddaa,f65cebb8-2fd6-5c1f-a143-c6195c53d062,hmi_20100620_0000_1082_0.png,sunspot-crops,convnextv2_db1_image/v1/crops/hmi_20100620_0000_1082_0.png,hmi_20100620.png,0,2010-06-20,C,r,o,Cro,H,a,x,Hax,1082,29.0,-10.0,299.0,5.0,10.0,Beta,4,61,53,224,0.557685911655426
34073593-2efc-570c-85b4-25671f16a648,be7cb32f-b4a5-5a19-b9bc-fc5c280fddaa,9c53e799-b827-569a-9420-e52f74fa5b51,hmi_20100621_0000_1082_0.png,sunspot-crops,convnextv2_db1_image/v1/crops/hmi_20100621_0000_1082_0.png,hmi_20100621.png,0,2010-06-21,D,s,o,Dso,A,x,x,Axx,1082,27.0,5.0,305.0,7.0,30.0,Beta,3,85,59,224,0.799135684967041
cb196209-89fb-57db-b49f-19dc6d262ed1,be7cb32f-b4a5-5a19-b9bc-fc5c280fddaa,1b07b238-86b5-5715-8f27-ec90070255e8,hmi_20100622_0000_1082_0.png,sunspot-crops,convnextv2_db1_image/v1/crops/hmi_20100622_0000_1082_0.png,hmi_20100622.png,0,2010-06-22,D,r,o,Dro,H,x,x,Hxx,1082,27.0,23.0,307.0,8.0,40.0,Beta,4,79,51,224,0.7463604807853699
b2962b3e-ae86-55e3-a64d-242436548f76,be7cb32f-b4a5-5a19-b9bc-fc5c280fddaa,efb4e972-554a-5d89-88ee-5dfab39c4fd2,hmi_20100623_0000_1082_0.png,sunspot-crops,convnextv2_db1_image/v1/crops/hmi_20100623_0000_1082_0.png,hmi_20100623.png,0,2010-06-23,C,s,o,Cso,D,x,o,Dxo,1082,26.0,37.0,307.0,8.0,30.0,Beta,4,85,55,224,0.5743007659912109
c9b3d234-852b-56bf-ae23-2de161396ddb,be7cb32f-b4a5-5a19-b9bc-fc5c280fddaa,0d57ecc7-a292-5371-b36a-5978b83e35ed,hmi_20100628_0000_1084_0.png,sunspot-crops,convnextv2_db1_image/v1/crops/hmi_20100628_0000_1084_0.png,hmi_20100628.png,0,2010-06-28,H,s,x,Hsx,H,x,x,Hxx,1084,-19.0,-59.0,145.0,2.0,90.0,Alpha,1,48,53,224,0.8895701169967651
7fe37be2-d7c7-57ef-bc3e-7f9dd1104140,be7cb32f-b4a5-5a19-b9bc-fc5c280fddaa,e771df94-0d38-574f-9463-555b687ee63d,hmi_20100629_0000_1084_0.png,sunspot-crops,convnextv2_db1_image/v1/crops/hmi_20100629_0000_1084_0.png,hmi_20100629.png,0,2010-06-29,H,s,x,Hsx,H,x,x,Hxx,1084,-19.0,-46.0,144.0,2.0,90.0,Alpha,1,51,54,224,0.8822429776191711
61f2d14a-ab93-5cf9-8402-5d916df78276,be7cb32f-b4a5-5a19-b9bc-fc5c280fddaa,b3f3e5fa-aaa1-5dd2-9e5d-901dda7e4532,hmi_20100630_0000_1084_0.png,sunspot-crops,convnextv2_db1_image/v1/crops/hmi_20100630_0000_1084_0.png,hmi_20100630.png,0,2010-06-30,H,s,x,Hsx,H,x,x,Hxx,1084,-19.0,-34.0,143.0,2.0,100.0,Alpha,1,53,54,224,0.8605891466140747
76771211-a4ac-5db2-9431-b865ac2d7614,be7cb32f-b4a5-5a19-b9bc-fc5c280fddaa,0ab01d0a-2b7e-5d4d-8d71-377d7c7c4437,hmi_20100701_0000_1084_0.png,sunspot-crops,convnextv2_db1_image/v1/crops/hmi_20100701_0000_1084_0.png,hmi_20100701.png,0,2010-07-01,H,s,x,Hsx,H,x,x,Hxx,1084,-19.0,-19.0,145.0,2.0,110.0,Alpha,1,53,51,224,0.8104169368743896
74ec3552-c15d-5653-b9b0-bffd15db6856,be7cb32f-b4a5-5a19-b9bc-fc5c280fddaa,d907be4f-475d-5b68-bec3-c4a8f9f9b420,hmi_20100702_0000_1084_0.png,sunspot-crops,convnextv2_db1_image/v1/crops/hmi_20100702_0000_1084_0.png,hmi_20100702.png,0,2010-07-02,H,s,x,Hsx,H,x,x,Hxx,1084,-19.0,-7.0,144.0,2.0,110.0,Alpha,1,53,52,224,0.8115266561508179
9982af2b-fe89-5708-b301-c12c0fb0c8e2,be7cb32f-b4a5-5a19-b9bc-fc5c280fddaa,ae58ad50-2c06-557b-9521-938593cfa10c,hmi_20100703_0000_1084_0.png,sunspot-crops,convnextv2_db1_image/v1/crops/hmi_20100703_0000_1084_0.png,hmi_20100703.png,0,2010-07-03,H,s,x,Hsx,H,x,x,Hxx,1084,-20.0,6.0,143.0,2.0,100.0,Alpha,1,52,53,224,0.8105995059013367
bd6de5f9-0962-5af5-bbda-536c8c22e86c,be7cb32f-b4a5-5a19-b9bc-fc5c280fddaa,e99d8e82-453d-5b52-b3fb-5653b5946226,hmi_20100704_0000_1084_0.png,sunspot-crops,convnextv2_db1_image/v1/crops/hmi_20100704_0000_1084_0.png,hmi_20100704.png,0,2010-07-04,H,s,x,Hsx,H,x,x,Hxx,1084,-19.0,19.0,143.0,2.0,150.0,Alpha,1,52,55,224,0.8603172898292542
175aca5f-f45e-5435-a196-871ce04a4648,be7cb32f-b4a5-5a19-b9bc-fc5c280fddaa,d575969a-2707-575b-a26d-f67680c4e562,hmi_20100705_0000_1084_0.png,sunspot-crops,convnextv2_db1_image/v1/crops/hmi_20100705_0000_1084_0.png,hmi_20100705.png,0,2010-07-05,H,s,x,Hsx,H,x,x,Hxx,1084,-19.0,32.0,143.0,2.0,110.0,Alpha,1,53,54,224,0.8579167723655701
ead3ec9d-19e2-5066-acab-f740bbbd0b89,be7cb32f-b4a5-5a19-b9bc-fc5c280fddaa,339f313c-49a7-546e-9a9c-004200673dc3,hmi_20100706_0000_1084_0.png,sunspot-crops,convnextv2_db1_image/v1/crops/hmi_20100706_0000_1084_0.png,hmi_20100706.png,0,2010-07-06,H,s,x,Hsx,A,x,x,Axx,1084,-19.0,46.0,143.0,2.0,100.0,Alpha,1,51,54,224,0.8753250241279602
395b53e0-371b-5b8b-9379-efccc476431d,be7cb32f-b4a5-5a19-b9bc-fc5c280fddaa,339f313c-49a7-546e-9a9c-004200673dc3,hmi_20100706_0000_1086_1.png,sunspot-crops,convnextv2_db1_image/v1/crops/hmi_20100706_0000_1086_1.png,hmi_20100706.png,1,2010-07-06,B,x,o,Bxo,H,x,x,Hxx,1086,18.0,53.0,151.0,2.0,10.0,Beta,2,42,43,224,0.6639716625213623
841e965d-09a2-51e2-9925-e3f6806f0d75,be7cb32f-b4a5-5a19-b9bc-fc5c280fddaa,aafd3239-d586-51f4-a887-b36d9795e6f2,hmi_20100707_0000_1084_0.png,sunspot-crops,convnextv2_db1_image/v1/crops/hmi_20100707_0000_1084_0.png,hmi_20100707.png,0,2010-07-07,H,s,x,Hsx,H,x,x,Hxx,1084,-19.0,59.0,143.0,2.0,110.0,Alpha,1,47,52,224,0.7685641050338745
02171024-8311-56cc-8228-436733730169,be7cb32f-b4a5-5a19-b9bc-fc5c280fddaa,05f3391c-2694-5a77-bcce-42491c80397b,hmi_20100711_0000_1087_0.png,sunspot-crops,convnextv2_db1_image/v1/crops/hmi_20100711_0000_1087_0.png,hmi_20100711.png,0,2010-07-11,D,r,o,Dro,C,x,o,Cxo,1087,19.0,-57.0,334.0,10.0,100.0,Beta,8,56,66,224,0.8042455315589905
e599a0e4-e637-56e5-b060-93efcea0d694,be7cb32f-b4a5-5a19-b9bc-fc5c280fddaa,bc66846d-0759-5cb9-8c71-c052e5ed0110,hmi_20100712_0000_1087_0.png,sunspot-crops,convnextv2_db1_image/v1/crops/hmi_20100712_0000_1087_0.png,hmi_20100712.png,0,2010-07-12,E,r,o,Ero,H,x,x,Hxx,1087,19.0,-44.0,334.0,14.0,120.0,Beta,15,68,65,224,0.8315567374229431
e85bab0b-a026-5d4c-804d-31aeb23a2cf0,be7cb32f-b4a5-5a19-b9bc-fc5c280fddaa,8d9b066c-291e-5c0c-9828-909d2fd8402f,hmi_20100713_0000_1087_0.png,sunspot-crops,convnextv2_db1_image/v1/crops/hmi_20100713_0000_1087_0.png,hmi_20100713.png,0,2010-07-13,D,a,o,Dao,H,r,x,Hrx,1087,21.0,-30.0,335.0,7.0,130.0,Beta-Delta,12,76,66,224,0.8145383596420288
3775e98c-79da-5386-acdc-a869564837f1,be7cb32f-b4a5-5a19-b9bc-fc5c280fddaa,4c58c672-9e2a-545f-a1d6-f4d229b11cc8,hmi_20100714_0000_1087_0.png,sunspot-crops,convnextv2_db1_image/v1/crops/hmi_20100714_0000_1087_0.png,hmi_20100714.png,0,2010-07-14,D,s,o,Dso,H,x,x,Hxx,1087,21.0,-20.0,332.0,5.0,70.0,Beta,7,60,54,224,0.8029477000236511
d4248f7a-4824-5749-9e29-6db74d1465c1,be7cb32f-b4a5-5a19-b9bc-fc5c280fddaa,542c1679-c3c8-5b97-8f7d-96e8347e7095,hmi_20100715_0000_1087_0.png,sunspot-crops,convnextv2_db1_image/v1/crops/hmi_20100715_0000_1087_0.png,hmi_20100715.png,0,2010-07-15,D,s,o,Dso,A,x,x,Axx,1087,20.0,-8.0,331.0,5.0,100.0,Beta-Gamma,6,51,50,224,0.8339605331420898
e9cf07b3-40de-58be-8b49-9f363a9ae101,be7cb32f-b4a5-5a19-b9bc-fc5c280fddaa,76f3d9db-9ffe-5a39-803e-910e4b5c4fc8,hmi_20100716_0000_1087_0.png,sunspot-crops,convnextv2_db1_image/v1/crops/hmi_20100716_0000_1087_0.png,hmi_20100716.png,0,2010-07-16,C,s,o,Cso,A,x,x,Axx,1087,19.0,5.0,330.0,8.0,60.0,Beta-Gamma,5,52,49,224,0.711275577545166
6df22b1b-30b8-5c2c-a497-5cb376e34d00,be7cb32f-b4a5-5a19-b9bc-fc5c280fddaa,adce36f3-b7da-5cf4-a1b5-72e06b5df466,hmi_20100717_0000_1087_0.png,sunspot-crops,convnextv2_db1_image/v1/crops/hmi_20100717_0000_1087_0.png,hmi_20100717.png,0,2010-07-17,E,s,o,Eso,H,x,x,Hxx,1087,20.0,19.0,331.0,12.0,50.0,Beta-Gamma,7,48,46,224,0.8892133235931396
61d0f54a-af62-53da-bfae-b934c8feca5e,be7cb32f-b4a5-5a19-b9bc-fc5c280fddaa,de7dc5f5-ebbc-5f37-ae9a-885814cd1362,hmi_20100718_0000_1087_0.png,sunspot-crops,convnextv2_db1_image/v1/crops/hmi_20100718_0000_1087_0.png,hmi_20100718.png,0,2010-07-18,H,s,x,Hsx,A,x,x,Axx,1087,23.0,33.0,332.0,2.0,20.0,Alpha,3,45,45,224,0.8559293746948242
7858cacd-48f8-536d-bd32-d5d02bc5cb79,be7cb32f-b4a5-5a19-b9bc-fc5c280fddaa,d93d535b-9a68-5a21-ac4c-7dfcaf895b9d,hmi_20100721_0000_1089_0.png,sunspot-crops,convnextv2_db1_image/v1/crops/hmi_20100721_0000_1089_0.png,hmi_20100721.png,0,2010-07-21,D,a,o,Dao,D,r,o,Dro,1089,-24.0,-58.0,201.0,10.0,150.0,Beta,9,77,71,224,0.8612050414085388
1d31d3ce-7e6c-58ed-9b73-fd8236b10e8c,be7cb32f-b4a5-5a19-b9bc-fc5c280fddaa,edb4b2e5-38eb-5d95-9fff-0e3e0b88b6a6,hmi_20100722_0000_1089_0.png,sunspot-crops,convnextv2_db1_image/v1/crops/hmi_20100722_0000_1089_0.png,hmi_20100722.png,0,2010-07-22,D,s,i,Dsi,D,r,c,Drc,1089,-24.0,-46.0,200.0,9.0,310.0,Beta,16,88,79,224,0.8680957555770874
2809232d-226c-5c33-bf48-9741d3fc13be,be7cb32f-b4a5-5a19-b9bc-fc5c280fddaa,1342b6f9-ad4c-5eb6-8ede-fd74bd26fbbb,hmi_20100723_0000_1089_0.png,sunspot-crops,convnextv2_db1_image/v1/crops/hmi_20100723_0000_1089_0.png,hmi_20100723.png,0,2010-07-23,D,s,i,Dsi,C,x,o,Cxo,1089,-23.0,-33.0,200.0,9.0,240.0,Beta,29,98,79,224,0.8575949668884277
475f409b-9524-5a85-9f83-b742048dc9ee,be7cb32f-b4a5-5a19-b9bc-fc5c280fddaa,c3065a1a-2747-5dbe-820f-684f2ddbe82e,hmi_20100724_0000_1089_0.png,sunspot-crops,convnextv2_db1_image/v1/crops/hmi_20100724_0000_1089_0.png,hmi_20100724.png,0,2010-07-24,E,s,i,Esi,D,x,o,Dxo,1089,-24.0,-20.0,200.0,11.0,200.0,Beta,35,85,79,224,0.856096088886261
742d58de-4c04-5f1b-a963-2568de993489,be7cb32f-b4a5-5a19-b9bc-fc5c280fddaa,52756092-6c3e-554c-9328-4d04a0e06ea2,hmi_20100725_0000_1089_0.png,sunspot-crops,convnextv2_db1_image/v1/crops/hmi_20100725_0000_1089_0.png,hmi_20100725.png,0,2010-07-25,E,s,i,Esi,D,x,o,Dxo,1089,-23.0,-6.0,201.0,11.0,160.0,Beta,20,93,84,224,0.8641325235366821
cabdd9ac-67ea-5462-b505-f255e9683f81,be7cb32f-b4a5-5a19-b9bc-fc5c280fddaa,ceda1876-2d88-52c0-8dec-f75034e48a4c,hmi_20100726_0000_1089_0.png,sunspot-crops,convnextv2_db1_image/v1/crops/hmi_20100726_0000_1089_0.png,hmi_20100726.png,0,2010-07-26,D,s,i,Dsi,H,x,x,Hxx,1089,-24.0,8.0,202.0,9.0,140.0,Beta,16,97,87,224,0.8614085912704468
